Nama Sekolah;Kecamatan;Kabupaten;Desa/Kelurahan;Status;Link Google Maps (Cari Lokasi & No Telp)
SD Negeri Burangkeng 01;Setu;Bekasi;Burangkeng;Negeri;https://www.google.com/maps/search/?api=1&query=SD+Negeri+Burangkeng+01+Setu+Bekasi
SD Negeri Burangkeng 02;Setu;Bekasi;Burangkeng;Negeri;https://www.google.com/maps/search/?api=1&query=SD+Negeri+Burangkeng+02+Setu+Bekasi
SD Negeri Burangkeng 03;Setu;Bekasi;Burangkeng;Negeri;https://www.google.com/maps/search/?api=1&query=SD+Negeri+Burangkeng+03+Setu+Bekasi
SD Negeri Burangkeng 04;Setu;Bekasi;Burangkeng;Negeri;https://www.google.com/maps/search/?api=1&query=SD+Negeri+Burangkeng+04+Setu+Bekasi
SD Negeri Burangkeng 05;Setu;Bekasi;Burangkeng;Negeri;https://www.google.com/maps/search/?api=1&query=SD+Negeri+Burangkeng+05+Setu+Bekasi
SD Negeri Cibening 01;Setu;Bekasi;Cibening;Negeri;https://www.google.com/maps/search/?api=1&query=SD+Negeri+Cibening+01+Setu+Bekasi
SD Negeri Cibening 02;Setu;Bekasi;Cibening;Negeri;https://www.google.com/maps/search/?api=1&query=SD+Negeri+Cibening+02+Setu+Bekasi
SD Negeri Cibening 03;Setu;Bekasi;Cibening;Negeri;https://www.google.com/maps/search/?api=1&query=SD+Negeri+Cibening+03+Setu+Bekasi
SD Negeri Cijengkol 01;Setu;Bekasi;Cijengkol;Negeri;https://www.google.com/maps/search/?api=1&query=SD+Negeri+Cijengkol+01+Setu+Bekasi
SD Negeri Cijengkol 02;Setu;Bekasi;Cijengkol;Negeri;https://www.google.com/maps/search/?api=1&query=SD+Negeri+Cijengkol+02+Setu+Bekasi
SD Negeri Ciledug 02;Setu;Bekasi;Ciledug;Negeri;https://www.google.com/maps/search/?api=1&query=SD+Negeri+Ciledug+02+Setu+Bekasi
SD Negeri Ciledug 03;Setu;Bekasi;Ciledug;Negeri;https://www.google.com/maps/search/?api=1&query=SD+Negeri+Ciledug+03+Setu+Bekasi
SD Negeri Ragemanunggal 01;Setu;Bekasi;Ragemanunggal;Negeri;https://www.google.com/maps/search/?api=1&query=SD+Negeri+Ragemanunggal+01+Setu+Bekasi
SD Negeri Ragemanunggal 02;Setu;Bekasi;Ragemanunggal;Negeri;https://www.google.com/maps/search/?api=1&query=SD+Negeri+Ragemanunggal+02+Setu+Bekasi
SD Negeri Muktijaya 01;Setu;Bekasi;Muktijaya;Negeri;https://www.google.com/maps/search/?api=1&query=SD+Negeri+Muktijaya+01+Setu+Bekasi
SD Negeri Taman Sari 01;Setu;Bekasi;Taman Sari;Negeri;https://www.google.com/maps/search/?api=1&query=SD+Negeri+Taman+Sari+01+Setu+Bekasi
SD Negeri Taman Rahayu 01;Setu;Bekasi;Taman Rahayu;Negeri;https://www.google.com/maps/search/?api=1&query=SD+Negeri+Taman+Rahayu+01+Setu+Bekasi
SD Al Burhaniyah;Setu;Bekasi;Setu;Swasta;https://www.google.com/maps/search/?api=1&query=SD+Al+Burhaniyah+Setu+Bekasi
SD Alam Pertiwi;Setu;Bekasi;Cijengkol;Swasta;https://www.google.com/maps/search/?api=1&query=SD+Alam+Pertiwi+Setu+Bekasi
SD Berkarakter Al Biruni;Setu;Bekasi;Burangkeng;Swasta;https://www.google.com/maps/search/?api=1&query=SD+Berkarakter+Al+Biruni+Setu+Bekasi
SD Insan Muttaqin Islamic School;Setu;Bekasi;Cibening;Swasta;https://www.google.com/maps/search/?api=1&query=SD+Insan+Muttaqin+Islamic+School+Setu+Bekasi
SD Islam Al-Adzkiya;Setu;Bekasi;Setu;Swasta;https://www.google.com/maps/search/?api=1&query=SD+Islam+Al-Adzkiya+Setu+Bekasi
SD Muhammadiyah 01 Setu;Setu;Bekasi;Setu;Swasta;https://www.google.com/maps/search/?api=1&query=SD+Muhammadiyah+01+Setu+Setu+Bekasi
MIS An Nur;Setu;Bekasi;Setu;Madrasah;https://www.google.com/maps/search/?api=1&query=MIS+An+Nur+Setu+Bekasi
MIS Darul Hikmah 2 Sadang;Setu;Bekasi;Setu;Madrasah;https://www.google.com/maps/search/?api=1&query=MIS+Darul+Hikmah+2+Sadang+Setu+Bekasi
MIS Miftahul Falah;Setu;Bekasi;Setu;Madrasah;https://www.google.com/maps/search/?api=1&query=MIS+Miftahul+Falah+Setu+Bekasi
MIS Nurul Azhar;Setu;Bekasi;Setu;Madrasah;https://www.google.com/maps/search/?api=1&query=MIS+Nurul+Azhar+Setu+Bekasi
MIS Nurul Huda;Setu;Bekasi;Setu;Madrasah;https://www.google.com/maps/search/?api=1&query=MIS+Nurul+Huda+Setu+Bekasi
